date,state,fips,cases,newCases,deaths,newDeaths
2020-07-30,US,00,4502581,68948,152433,1261
2020-07-31,US,00,4571669,69088,153862,1429
2020-08-01,US,00,4628497,56828,154917,1055
2020-08-02,US,00,4679291,50794,155337,420
2020-08-03,US,00,4726775,47484,155945,608
2020-08-04,US,00,4780324,53549,157301,1356
2020-08-05,US,00,4834047,53723,158554,1253
2020-08-06,US,00,4891561,57514,159625,1071
2020-08-07,US,00,4952718,61157,160981,1356
2020-08-08,US,00,5007958,55240,161947,966
2020-08-09,US,00,5056438,48480,162486,539
2020-08-10,US,00,5103611,47173,163023,537
2020-08-11,US,00,5156968,53357,164474,1451
2020-08-12,US,00,5211246,54278,165952,1478
2020-08-13,US,00,5265307,54061,167165,1213
2020-08-14,US,00,5324784,59477,168341,1176
2020-08-15,US,00,5375527,50743,169400,1059
2020-08-16,US,00,5417664,42137,169914,514
2020-08-17,US,00,5455187,37523,170449,535
2020-08-18,US,00,5498420,43233,171798,1349
2020-08-19,US,00,5541433,43013,173093,1295
2020-08-20,US,00,5587462,46029,174136,1043
2020-08-21,US,00,5636491,49029,175297,1161
2020-08-22,US,00,5681517,45026,176247,950
2020-08-23,US,00,5713850,32333,176693,446
2020-08-24,US,00,5754254,40404,177197,504
2020-08-25,US,00,5793437,39183,178410,1213
2020-08-26,US,00,5838756,45319,179603,1193
2020-08-27,US,00,5884368,45612,180729,1126
2020-08-28,US,00,5930932,46564,181739,1010
2020-08-29,US,00,5975541,44609,182610,871
2020-08-30,US,00,6008970,33429,182984,374
2020-08-31,US,00,6045457,36487,183472,488
2020-09-01,US,00,6089506,44049,184563,1091
2020-09-02,US,00,6121950,32444,185639,1076
2020-09-03,US,00,6168347,46397,186717,1078
2020-09-04,US,00,6220448,52101,187697,980
2020-09-05,US,00,6262701,42253,188409,712
2020-09-06,US,00,6292699,29998,188820,411
2020-09-07,US,00,6317865,25166,189083,263
2020-09-08,US,00,6346807,28942,189541,458
2020-09-09,US,00,6380139,33332,190716,1175
2020-09-10,US,00,6418200,38061,191631,915
2020-09-11,US,00,6465767,47567,192858,1227
2020-09-12,US,00,6504871,39104,193559,701
2020-09-13,US,00,6538214,33343,193958,399
2020-09-14,US,00,6575101,36887,194408,450
2020-09-15,US,00,6614318,39217,195689,1281
2020-09-16,US,00,6653586,39268,196686,997
2020-09-17,US,00,6698896,45310,197535,849
2020-09-18,US,00,6747783,48887,198484,949
2020-09-19,US,00,6789594,41811,199154,670
2020-09-20,US,00,6825950,36356,199367,213
2020-09-21,US,00,6880902,54952,199797,430
2020-09-22,US,00,6918293,37391,200738,941
2020-09-23,US,00,6959842,41549,201828,1090
2020-09-24,US,00,7005046,45204,202713,885
2020-09-25,US,00,7059627,54581,203566,853
2020-09-26,US,00,7102322,42695,204335,769
2020-09-27,US,00,7139620,37298,204602,267
2020-09-28,US,00,7176980,37360,204952,350
2020-09-29,US,00,7220677,43697,205878,926
2020-09-30,US,00,7262735,42058,206852,974
2020-10-01,US,00,7309153,46418,207699,847
2020-10-02,US,00,7362733,53580,208564,865
2020-10-03,US,00,7410512,47779,209273,709
2020-10-04,US,00,7445575,35063,209606,333
2020-10-05,US,00,7507988,62413,210035,429
2020-10-06,US,00,7550850,42862,210756,721
2020-10-07,US,00,7603867,53017,211752,996
2020-10-08,US,00,7660249,56382,212680,928
2020-10-09,US,00,7719211,58962,213595,915
2020-10-10,US,00,7770859,51648,214187,592
2020-10-11,US,00,7815642,44783,214606,419
2020-10-12,US,00,7863658,48016,214957,351
2020-10-13,US,00,7918051,54393,215783,826
2020-10-14,US,00,7977904,59853,216792,1009
2020-10-15,US,00,8043257,65353,217585,793
2020-10-16,US,00,8113721,70464,218476,891
2020-10-17,US,00,8166482,52761,219154,678
2020-10-18,US,00,8214364,47882,219541,387
2020-10-19,US,00,8279804,65440,220058,517
2020-10-20,US,00,8340398,60594,220987,929
2020-10-21,US,00,8404635,64237,222195,1208
2020-10-22,US,00,8479765,75130,223023,828
2020-10-23,US,00,8565062,85297,223953,930
2020-10-24,US,00,8643641,78579,224825,872
2020-10-25,US,00,8703356,59715,225164,339
2020-10-26,US,00,8777994,74638,225701,537
2020-10-27,US,00,8852381,74387,226684,983
2020-10-28,US,00,8934263,81882,227702,1018
2020-10-29,US,00,9024932,90669,228706,1004
2020-10-30,US,00,9124800,99868,229674,968
2020-10-31,US,00,9209007,84207,230512,838
2020-11-01,US,00,9283202,74195,230940,428
2020-11-02,US,00,9377208,94006,231480,540
2020-11-03,US,00,9469624,92416,232610,1130
2020-11-04,US,00,9577702,108078,234226,1616
2020-11-05,US,00,9699051,121349,235334,1108
2020-11-06,US,00,9831874,132823,236582,1248
2020-11-07,US,00,9957805,125931,237589,1007
2020-11-08,US,00,10061218,103413,238053,464
2020-11-09,US,00,10191667,130449,238798,745
2020-11-10,US,00,10331417,139750,240262,1464
2020-11-11,US,00,10474295,142878,241693,1431
2020-11-12,US,00,10637946,163651,242865,1172
2020-11-13,US,00,10819442,181496,244255,1390
2020-11-14,US,00,10978475,159033,245465,1210
2020-11-15,US,00,11113661,135186,246088,623
2020-11-16,US,00,11280224,166563,246884,796
2020-11-17,US,00,11441855,161631,248491,1607
2020-11-18,US,00,11614135,172280,250415,1924
2020-11-19,US,00,11801643,187508,252376,1961
2020-11-20,US,00,12000502,198859,254333,1957
2020-11-21,US,00,12172435,171933,255758,1425
2020-11-22,US,00,12313229,140794,256601,843
2020-11-23,US,00,12492852,179623,257639,1038
2020-11-24,US,00,12670710,177858,259848,2209
2020-11-25,US,00,12851300,180590,262161,2313
2020-11-26,US,00,12954294,102994,263339,1178
2020-11-27,US,00,13160133,205839,264751,1412
2020-11-28,US,00,13311541,151408,265943,1192
2020-11-29,US,00,13447663,136122,266761,818
2020-11-30,US,00,13615321,167658,268031,1270
2020-12-01,US,00,13799549,184228,270639,2608
2020-12-02,US,00,14000721,201172,273525,2886
2020-12-03,US,00,14218459,217738,276381,2856
2020-12-04,US,00,14449827,231368,279018,2637
2020-12-05,US,00,14655535,205708,281208,2190
2020-12-06,US,00,14827456,171921,282319,1111
2020-12-07,US,00,15031979,204523,283853,1534
2020-12-08,US,00,15251693,219714,286674,2821
2020-12-09,US,00,15471409,219716,289830,3156
2020-12-10,US,00,15696634,225225,292771,2941
2020-12-11,US,00,15977147,280513,295726,2955
2020-12-12,US,00,16184679,207532,297981,2255
2020-12-13,US,00,16368898,184219,299338,1357
2020-12-14,US,00,16569783,200885,301016,1678
2020-12-15,US,00,16772936,203153,304041,3025
2020-12-16,US,00,17017763,244827,307652,3611
2020-12-17,US,00,17255472,237709,310950,3298
2020-12-18,US,00,17506662,251190,313820,2870
2020-12-19,US,00,17700567,193905,316381,2561
2020-12-20,US,00,17880478,179911,317810,1429
2020-12-21,US,00,18081996,201518,319773,1963
2020-12-22,US,00,18283633,201637,323012,3239
2020-12-23,US,00,18511396,227763,326424,3412
2020-12-24,US,00,18704907,193511,329248,2824
2020-12-25,US,00,18805838,100931,330377,1129
2020-12-26,US,00,19022699,216861,332023,1646
2020-12-27,US,00,19174788,152089,333253,1230
2020-12-28,US,00,19363798,189010,335152,1899
2020-12-29,US,00,19564828,201030,338780,3628
2020-12-30,US,00,19793777,228949,342588,3808
2020-12-31,US,00,20024801,231024,346050,3462
2021-01-01,US,00,20172049,147248,347970,1920
2021-01-02,US,00,20463659,291610,350343,2373
2021-01-03,US,00,20665439,201780,351694,1351
2021-01-04,US,00,20917269,251830,353743,2049
2021-01-05,US,00,21152285,235016,357432,3689
2021-01-06,US,00,21408251,255966,361396,3964
2021-01-07,US,00,21688585,280334,365509,4113
2021-01-08,US,00,21989362,300777,369404,3895
2021-01-09,US,00,22241281,251919,372663,3259
2021-01-10,US,00,22449576,208295,374440,1777
2021-01-11,US,00,22675892,226316,376488,2048
2021-01-12,US,00,22905869,229977,380894,4406
2021-01-13,US,00,23135194,229325,384824,3930
2021-01-14,US,00,23374716,239522,388804,3980
2021-01-15,US,00,23614569,239853,392553,3749
2021-01-16,US,00,23816762,202193,395894,3341
2021-01-17,US,00,23986856,170094,397624,1730
2021-01-18,US,00,24127989,141133,399065,1441
2021-01-19,US,00,24314933,186944,401836,2771
2021-01-20,US,00,24500421,185488,406216,4380
2021-01-21,US,00,24690903,190482,410351,4135
2021-01-22,US,00,24882468,191565,414082,3731
2021-01-23,US,00,25050385,167917,417404,3322
2021-01-24,US,00,25180061,129676,419219,1815
2021-01-25,US,00,25336637,156576,421126,1907
2021-01-26,US,00,25487275,150638,425224,4098
2021-01-27,US,00,25643045,155770,429326,4102
2021-01-28,US,00,25809220,166175,433194,3868
2021-01-29,US,00,25973835,164615,436794,3600
2021-01-30,US,00,26107635,133800,439435,2641
2021-01-31,US,00,26221430,113795,441299,1864
2021-02-01,US,00,26363284,141854,443249,1950
2021-02-02,US,00,26478540,115256,446860,3611
2021-02-03,US,00,26598723,120183,450703,3843
2021-02-04,US,00,26724359,125636,455820,5117
2021-02-05,US,00,26853860,129501,459390,3570
2021-02-06,US,00,26958807,104947,462052,2662
2021-02-07,US,00,27046088,87281,463353,1301
2021-02-08,US,00,27139070,92982,464936,1583
2021-02-09,US,00,27235460,96390,468106,3170
2021-02-10,US,00,27330435,94975,471360,3254
2021-02-11,US,00,27436075,105640,475238,3878
2021-02-12,US,00,27535702,99627,480701,5463
2021-02-13,US,00,27620354,84652,484073,3372
2021-02-14,US,00,27684134,63780,485154,1081
2021-02-15,US,00,27739406,55272,486148,994
2021-02-16,US,00,27803946,64540,487855,1707
2021-02-17,US,00,27874107,70161,490326,2471
2021-02-18,US,00,27945898,71791,492951,2625
2021-02-19,US,00,28023910,78012,495572,2621
2021-02-20,US,00,28093630,69720,497403,1831
2021-02-21,US,00,28148810,55180,498650,1247
2021-02-22,US,00,28208276,59466,500104,1454
2021-02-23,US,00,28280189,71913,502432,2328
2021-02-24,US,00,28354383,74194,505642,3210
2021-02-25,US,00,28432264,77881,508107,2465
2021-02-26,US,00,28510582,78318,510283,2176
2021-02-27,US,00,28573256,62674,511850,1567
2021-02-28,US,00,28624161,50905,512979,1129
2021-03-01,US,00,28680857,56696,514404,1425
2021-03-02,US,00,28738501,57644,515710,1306
2021-03-03,US,00,28805113,66612,518079,2369
2021-03-04,US,00,28872395,67282,520028,1949
2021-03-05,US,00,28938090,65695,522511,2483
2021-03-06,US,00,28994675,56585,523970,1459
2021-03-07,US,00,29034739,40064,524646,676
2021-03-08,US,00,29129252,94513,525466,820
2021-03-09,US,00,29185151,55899,527351,1885
2021-03-10,US,00,29243346,58195,528825,1474
2021-03-11,US,00,29305733,62387,530349,1524
2021-03-12,US,00,29369899,64166,532054,1705
2021-03-13,US,00,29419456,49557,533928,1874
2021-03-14,US,00,29457445,37989,534497,569
2021-03-15,US,00,29514609,57164,535246,749
2021-03-16,US,00,29569140,54531,536491,1245
2021-03-17,US,00,29628071,58931,537668,1177
2021-03-18,US,00,29688541,60470,539226,1558
2021-03-19,US,00,29749164,60623,540740,1514
2021-03-20,US,00,29803589,54425,541512,772
2021-03-21,US,00,29837782,34193,541960,448
2021-03-22,US,00,29892498,54716,542608,648
2021-03-23,US,00,29949244,56746,543501,893
2021-03-24,US,00,30029147,79903,545091,1590
2021-03-25,US,00,30098263,69116,546361,1270
2021-03-26,US,00,30172762,74499,547621,1260
2021-03-27,US,00,30233462,60700,548401,780
2021-03-28,US,00,30277977,44515,548891,490
2021-03-29,US,00,30348716,70739,549576,685
2021-03-30,US,00,30410950,62234,550523,947
2021-03-31,US,00,30478886,67936,551658,1135
2021-04-01,US,00,30556079,77193,552615,957
2021-04-02,US,00,30624668,68589,553571,956
2021-04-03,US,00,30688804,64136,554324,753
2021-04-04,US,00,30725627,36823,554596,272
2021-04-05,US,00,30802221,76594,555126,530
2021-04-06,US,00,30864193,61972,556035,909
2021-04-07,US,00,30937283,73090,558606,2571
2021-04-08,US,00,31017741,80458,559608,1002
2021-04-09,US,00,31099323,81582,560554,946
2021-04-10,US,00,31164081,64758,561258,704
2021-04-11,US,00,31212058,47977,561559,301
2021-04-12,US,00,31283990,71932,562024,465
2021-04-13,US,00,31361311,77321,563007,983
2021-04-14,US,00,31437061,75750,563942,935
2021-04-15,US,00,31510755,73694,564859,917
2021-04-16,US,00,31589109,78354,565794,935
2021-04-17,US,00,31642983,53874,566471,677
2021-04-18,US,00,31684382,41399,566829,358
2021-04-19,US,00,31754642,70260,567314,485
2021-04-20,US,00,31815666,61024,568146,832
2021-04-21,US,00,31878161,62495,568986,840
2021-04-22,US,00,31944402,66241,569897,911
2021-04-23,US,00,32008186,63784,570770,873
2021-04-24,US,00,32058654,50468,571495,725
2021-04-25,US,00,32092245,33591,571777,282
2021-04-26,US,00,32139580,47335,572256,479
2021-04-27,US,00,32191457,51877,572969,713
2021-04-28,US,00,32246275,54818,573903,934
2021-04-29,US,00,32303857,57582,574777,874
2021-04-30,US,00,32362374,58517,575637,860
2021-05-01,US,00,32407133,44759,576352,715
2021-05-02,US,00,32436765,29632,576664,312
2021-05-03,US,00,32486709,49944,577123,459
2021-05-04,US,00,32527664,40955,578030,907
2021-05-05,US,00,32572383,44719,578806,776
2021-05-06,US,00,32620077,47694,579638,832
2021-05-07,US,00,32667570,47493,580450,812
2021-05-08,US,00,32701236,33666,581054,604
2021-05-09,US,00,32723564,22328,581300,246
2021-05-10,US,00,32760121,36557,581670,370
2021-05-11,US,00,32794162,34041,582363,693
2021-05-12,US,00,32829645,35483,583211,848
2021-05-13,US,00,32868084,38439,583991,780
2021-05-14,US,00,32909065,40981,584723,732
2021-05-15,US,00,32938115,29050,585282,559
2021-05-16,US,00,32954825,16710,585574,292
2021-05-17,US,00,32984032,29207,585958,384
2021-05-18,US,00,33011895,27863,586825,867
2021-05-19,US,00,33040689,28794,587500,675
2021-05-20,US,00,33070307,29618,588154,654
2021-05-21,US,00,33099318,29011,588850,696
2021-05-22,US,00,33117634,18316,589329,479
2021-05-23,US,00,33131784,14150,589518,189
2021-05-24,US,00,33157412,25628,589935,417
2021-05-25,US,00,33180250,22838,590635,700
2021-05-26,US,00,33203636,23386,591601,966
2021-05-27,US,00,33231383,27747,592942,1341
2021-05-28,US,00,33253407,22024,593701,759
2021-05-29,US,00,33264967,11560,594040,339
2021-05-30,US,00,33272409,7442,594171,131
2021-05-31,US,00,33277912,5503,594321,150
2021-06-01,US,00,33300482,22570,594827,506
2021-06-02,US,00,33317340,16858,595421,594
2021-06-03,US,00,33336811,19471,596037,616
2021-06-04,US,00,33312812,-23999,596176,139
2021-06-05,US,00,33323260,10448,596551,375
2021-06-06,US,00,33329413,6153,596803,252
2021-06-07,US,00,33348865,19452,597139,336
2021-06-08,US,00,33363050,14185,597514,375
2021-06-09,US,00,33383714,20664,598086,572
2021-06-10,US,00,33399513,15799,598546,460
2021-06-11,US,00,33416340,16827,599063,517
2021-06-12,US,00,33424619,8279,599233,170
2021-06-13,US,00,33431406,6787,599328,95
2021-06-14,US,00,33446525,15119,599538,210
2021-06-15,US,00,33458397,11872,599990,452
2021-06-16,US,00,33472808,14411,600414,424
2021-06-17,US,00,33484995,12187,600702,288
2021-06-18,US,00,33497695,12700,601171,469
2021-06-19,US,00,33505275,7580,601340,169
2021-06-20,US,00,33509338,4063,601430,90
2021-06-21,US,00,33525182,15844,601718,288
2021-06-22,US,00,33537943,12761,602150,432
2021-06-23,US,00,33551974,14031,602548,398
2021-06-24,US,00,33566669,14695,602903,355
2021-06-25,US,00,33581632,14963,603361,458
2021-06-26,US,00,33588423,6791,603487,126
2021-06-27,US,00,33592510,4087,603583,96
2021-06-28,US,00,33608058,15548,603744,161
2021-06-29,US,00,33623787,15729,604123,379
2021-06-30,US,00,33639764,15977,604446,323
2021-07-01,US,00,33704723,64959,604693,247
2021-07-02,US,00,33725159,20436,604959,266
2021-07-03,US,00,33729152,3993,605045,86
2021-07-04,US,00,33732074,2922,605082,37
2021-07-05,US,00,33736665,4591,605123,41
2021-07-06,US,00,33763742,27077,605440,317
2021-07-07,US,00,33793961,30219,605762,322
2021-07-08,US,00,33843194,49233,606128,366
2021-07-09,US,00,33878529,35335,606535,407
2021-07-10,US,00,33886287,7758,606623,88
2021-07-11,US,00,33891830,5543,606653,30
2021-07-12,US,00,33927213,35383,606926,273
2021-07-13,US,00,33970195,42982,607358,432
2021-07-14,US,00,34008250,38055,607751,393
2021-07-15,US,00,34044268,36018,608089,338
2021-07-16,US,00,34096492,52224,608446,357
2021-07-17,US,00,34108937,12445,608529,83
2021-07-18,US,00,34117964,9027,608566,37
2021-07-19,US,00,34177146,59182,608797,231
2021-07-20,US,00,34239257,62111,609097,300
2021-07-21,US,00,34299048,59791,609494,397
2021-07-22,US,00,34364548,65500,609856,362
2021-07-23,US,00,34447610,83062,610299,443
2021-07-24,US,00,34469200,21590,610400,101
2021-07-25,US,00,34483033,13833,610449,49
2021-07-26,US,00,34576119,93086,610722,273
2021-07-27,US,00,34682937,106818,611206,484
2021-07-28,US,00,34767898,84961,611701,495
2021-07-29,US,00,34866192,98294,612104,403
2021-07-30,US,00,34988866,122674,612775,671
2021-07-31,US,00,35018564,29698,612919,144
2021-08-01,US,00,35041458,22894,612982,63
2021-08-02,US,00,35177628,136170,613440,458
2021-08-03,US,00,35327939,150311,614109,669
2021-08-04,US,00,35440283,112344,614834,725
2021-08-05,US,00,35567255,126972,615408,574
2021-08-06,US,00,35735606,168351,616257,849
2021-08-07,US,00,35777721,42115,616463,206
2021-08-08,US,00,35813789,36068,616594,131
2021-08-09,US,00,35992480,178691,617314,720
2021-08-10,US,00,36154571,162091,618363,1049
2021-08-11,US,00,36310148,155577,618701,338
2021-08-12,US,00,36448857,138709,619723,1022
2021-08-13,US,00,36636249,187392,620809,1086
2021-08-14,US,00,36686066,49817,621051,242
2021-08-15,US,00,36729884,43818,621228,177
2021-08-16,US,00,36989377,259493,622244,1016
2021-08-17,US,00,37133674,144297,623237,993
2021-08-18,US,00,37298285,164611,624365,1128
2021-08-19,US,00,37458037,159752,626099,1734
2021-08-20,US,00,37657643,199606,627631,1532
2021-08-21,US,00,37737034,79391,628100,469
2021-08-22,US,00,37777607,40573,628285,185
2021-08-23,US,00,38043754,266147,629644,1359
2021-08-24,US,00,38193951,150197,631057,1413
2021-08-25,US,00,38364887,170936,632522,1465
2021-08-26,US,00,38552648,187761,634735,2213
2021-08-27,US,00,38748559,195911,636509,1774
2021-08-28,US,00,38833818,85259,637076,567
2021-08-29,US,00,38875976,42158,637356,280
2021-08-30,US,00,39156379,280403,639081,1725
2021-08-31,US,00,39316629,160250,640519,1438
2021-09-01,US,00,39527624,210995,642454,1935
2021-09-02,US,00,39703320,175696,645391,2937
2021-09-03,US,00,39894795,191475,647370,1979
2021-09-04,US,00,39960849,66054,647896,526
2021-09-05,US,00,40005266,44417,648273,377
2021-09-06,US,00,40082242,76976,648788,515
2021-09-07,US,00,40383380,301138,651014,2226
2021-09-08,US,00,40567569,184189,653216,2202
2021-09-09,US,00,40738029,170460,656447,3231
2021-09-10,US,00,40914456,176427,658865,2418
2021-09-11,US,00,40988382,73926,659556,691
2021-09-12,US,00,41027727,39345,659849,293
2021-09-13,US,00,41289068,261341,661579,1730
2020-01-21,Washington,53,1,1,0,0
2020-01-22,Washington,53,1,0,0,0
2020-01-23,Washington,53,1,0,0,0
2020-01-24,Illinois,17,1,1,0,0
2020-01-24,Washington,53,1,0,0,0
